Replace Part DA6 MAX4172 in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with MAX4172 from MAX4172-3kl.IntLib
Replace Part DD1 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD2 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD2 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD2 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD2 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD2 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD3 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from ULN2004AD-3kl.IntLib
Replace Part DD4 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from ULN2004AD-3kl.IntLib
Replace Part DD4 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from ULN2004AD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD5 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD6 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4049UBD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD7 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD8 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD8 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD8 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
Replace Part DD8 Mikroshema in C:\Users\3286_Buntov\Desktop\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039\÷“≈¿4.324.039_›3_3.SchDoc with Mikroshema from CD4050BD-3kl.IntLib
